Archivo,Bib_Corredor,Club / Jersey,Gadgets_Detectados,Nivel_Emocion
697096573_122184316376592376_8897316898589576521_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
697096573_122184316376592376_8897316898589576521_n.jpg,543,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
697096573_122184316376592376_8897316898589576521_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
697096573_122184316376592376_8897316898589576521_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
697792455_122184316580592376_6608979295685162357_n.jpg,1476,Genérico / Independiente,A smartwatch,Concentrado
697792455_122184316580592376_6608979295685162357_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
688819878_122224083326582925_7862934023613805186_n.jpg,93,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
688819878_122224083326582925_7862934023613805186_n.jpg,2069,Genérico / Independiente,A smartwatch,Concentrado
688819878_122224083326582925_7862934023613805186_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
688819878_122224083326582925_7862934023613805186_n.jpg,934,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
688819878_122224083326582925_7862934023613805186_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
688819878_122224083326582925_7862934023613805186_n.jpg,964,Genérico / Independiente,A smartwatch,Concentrado
688819878_122224083326582925_7862934023613805186_n.jpg,1399,Genérico / Independiente,A smartwatch,Concentrado
697777719_122184316802592376_6854273988381488817_n.jpg,1800,Genérico / Independiente,A smartwatch,Concentrado
697777719_122184316802592376_6854273988381488817_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
697777719_122184316802592376_6854273988381488817_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
697777719_122184316802592376_6854273988381488817_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
697777719_122184316802592376_6854273988381488817_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
697777719_122184316802592376_6854273988381488817_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
697777719_122184316802592376_6854273988381488817_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
697777719_122184316802592376_6854273988381488817_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Concentrado
